"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-01","2018","01","01","†","-6.5","","-25.5","","-16.0","","34.0","","0.0","","0.0","","0.4","","0.2","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-02","2018","01","02","†","-7.0","","-16.0","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-03","2018","01","03","†","-6.0","","-14.0","","-10.0","","28.0","","0.0","","0.0","","0.8","","0.2","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-04","2018","01","04","†","-10.5","","-14.5","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-05","2018","01","05","†","-15.0","","-22.5","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-06","2018","01","06","†","-15.0","","-25.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-07","2018","01","07","†","-0.5","","-24.5","","-12.5","","30.5","","0.0","","0.0","T","3.0","","4.6","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-08","2018","01","08","†","2.5","","-9.5","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","","20","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-09","2018","01","09","†","0.0","","-1.5","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","","19","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-10","2018","01","10","†","8.5","","-9.0","","-0.3","","18.3","","0.0","","3.0","","0.0","","3.0","","18","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-11","2018","01","11","†","11.5","","-0.5","","5.5","","12.5","","0.0","","16.4","","0.0","","16.4","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-12","2018","01","12","†","3.0","","-8.5","","-2.8","","20.8","","0.0","","2.8","","4.0","","7.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-13","2018","01","13","†","-11.5","","-15.5","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-14","2018","01","14","†","-5.0","","-18.5","","-11.8","","29.8","","0.0","","0.0","","1.2","","0.4","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2018-01-15","2018","01","15","†","-7.0","","-11.5","","-9.3","","27.3","","0.0","","0.0","","9.0","","4.8","","2","","","","",""
